,pmi,trade,ip,oil,fin,ai,copper,usd,trend,fitted,actual,residual
2017-04-01,0.06530266233325994,0.01740317094912457,0.034413088800842685,0.011222932236346966,0.10265052521094926,0.14437630418977723,0.07310627449390181,-0.036207869507401895,2.724508548787808,3.1367756374946083,3.44658623167955,0.30981059418494183
2017-07-01,0.09130493308753503,0.0065868992892089495,0.030439053173557083,0.018011782110502514,0.11021404878004715,0.08911478766483347,0.1357709685535283,0.06314826359559408,2.724508548787808,3.269099285042614,3.44658623167955,0.17748694663693598
2017-10-01,0.11031690804822732,0.05181926466201383,0.03868547520885087,0.04691589168501318,0.1174214680651393,0.11231761925142018,0.11878456672467903,0.1181706781249146,2.724508548787808,3.4389404205580663,3.419927003837637,-0.019013416720429444
2018-01-01,0.10979407873680828,-0.01602770519499604,-0.0038208435671846074,0.05294682839134748,0.028260812875616315,0.08157175593432181,0.06069155222811068,0.18698066905208466,2.724508548787808,3.2249056972439165,3.339949320311897,0.11504362306798033
2018-04-01,0.08775037276899093,-0.004262297740686748,0.010793867838517856,0.12592978311402134,0.05498640452114268,0.020801185113852334,0.06678789972117023,0.11395724930784358,2.724508548787808,3.2012530134326598,3.28663086462807,0.08537785119541041
2018-07-01,0.04525521373631547,0.022041148395014504,-0.008982654766325832,0.1194864304694803,0.08577193098375083,0.006644513056934704,-0.05765495504925762,0.0017408367571054523,2.724508548787808,2.9388110123708255,3.28663086462807,0.34781985225724465
2018-10-01,-0.004254006058644754,-0.053211693427041545,-0.01584577905890974,0.019175053138454936,-0.017693609848375848,-0.12685348023707407,-0.0866796165867404,-0.019112367345403277,2.724508548787808,2.420033049364073,3.185577178448892,0.7655441290848191
2019-01-01,-0.034963777613008354,-0.03857757150862531,-0.029592536085008243,-0.029658390944891373,0.04169881994204451,-0.10637273640940662,-0.0820841908380986,-0.07934541005628212,2.724508548787808,2.365612755274532,2.882416119911357,0.5168033646368251
2019-04-01,-0.04417100548682997,-0.020428698379994534,-0.007932031614382199,-0.0408448057107827,0.0573097835131182,-0.05429825602692188,-0.07987879050529542,-0.05038659894654641,2.724508548787808,2.483878145630173,2.6803087475530005,0.19643060192282746
2019-07-01,-0.04676036857656557,-0.010980472659855607,-0.047453299734204694,-0.06894264029697142,0.047671687240550265,-0.04920060176777322,-0.0500115763203235,-0.022598825082130305,2.724508548787808,2.476232451590534,2.6803087475530005,0.20407629596246668
2019-10-01,-0.037716779487227764,-0.04972701566657079,-0.02944976893100028,-0.032907619273855146,0.0728163587480714,0.10805738945079213,-0.04223407263498491,0.004401892734430811,2.724508548787808,2.717748933727463,1.75255531386569,-0.9651936198617732
2020-01-01,-0.37810514218614516,-0.17587400903021866,-0.17069569427228054,-0.07197010842456754,-0.13156399363344143,0.01680907178263842,-0.07231965044464604,-0.005019022814840927,2.724508548787808,1.735769999764306,-1.0307049871962402,-2.766474986960546
2020-04-01,-0.6982623870300159,-0.3845598261356173,-0.4799221207971231,-0.16491244849764825,-0.18172555368262308,0.04147163303742174,-0.09136974862111193,0.001962418345667411,2.724508548787808,0.7671905154067573,-2.88621185457086,-3.6534023699776172
2020-07-01,-0.07572545192873285,0.5929671552137243,0.63244385349006,-0.10369736128453524,-0.07412176441194271,0.1057683872155553,0.029191038038127327,0.08746615357812575,2.724508548787808,3.91880055869819,-2.88621185457086,-6.805012413269051
2020-10-01,0.0700760260466054,0.15733064052151688,0.17642873858177782,-0.09720479119071926,-0.0717737408988067,0.11796013164086361,0.07650989196306315,0.11396028330875121,2.724508548787808,3.26779572876086,-1.32432839948113,-4.59212412824199
2021-01-01,0.1357012896162801,0.058927456936622505,0.05891601568675463,0.07750912701129066,-0.043258420166867775,0.21955275255649584,0.22190834462274006,0.139841289041155,2.724508548787808,3.593606404092279,3.36132196578806,-0.23228443830421908
2021-04-01,0.1710771430252825,0.0038500240940590744,0.04572902574394309,0.31623901709513186,0.0217344145771891,0.204682094176024,0.3757321670100884,0.14611818194567353,2.724508548787808,4.0096706164552,6.48508887596752,2.4754182595123204
2021-07-01,0.1485241877281609,-0.03450885688247084,-0.014848046968286841,0.18868479564933915,0.01854947285855507,0.133835312354389,0.19933725789255963,0.04549631773986276,2.724508548787808,3.4095789891599164,6.48508887596752,3.0755098868076036
2021-10-01,0.11779947819347075,0.12356813783542356,0.06723745054072543,0.21596198907084388,0.006927319487454618,0.11402810445835766,0.14077326280586314,-0.022977588210449148,2.724508548787808,3.487826702969498,5.977575892082345,2.489749189112847
2022-01-01,0.061602117206982145,-0.021801182021161658,0.034668322008499244,0.15871838616803946,-0.068020541675627,-0.03625449902742635,0.05699768876533344,-0.07114267423396611,2.724508548787808,2.839276165978481,4.45503694042682,1.6157607744483387
2022-04-01,-0.012425081297108403,0.00392051690816654,-0.0150455966282729,0.16753389277594244,-0.09285091645507207,-0.14725320631013825,-0.039465249531558874,-0.16675278201694851,2.724508548787808,2.422170126232818,3.44001097265647,1.0178408464236521
2022-07-01,-0.06776079241841425,0.019060711509259316,-0.009388973596641563,0.0834183149369365,-0.062024971709266914,-0.18542669908247345,-0.1229013987848762,-0.22713709478653038,2.724508548787808,2.1523476448558005,3.44001097265647,1.2876633278006695
2022-10-01,-0.07509703825637119,-0.08372692944921184,-0.04056638376043866,0.017661514030776437,-0.06524958911640259,-0.21854640623708835,-0.11216051595318692,-0.18210563671602392,2.724508548787808,1.9647175633298608,3.3432399661070136,1.3785224027771528
2023-01-01,-0.040990913175100736,-0.046313373649025734,-0.010560807275832999,-0.057146147365409294,-0.010332763762323073,-0.15326317181734375,-0.07938463935546738,-0.07677388220442587,2.724508548787808,2.249742850182879,3.052926946458643,0.8031840962757637
2023-04-01,-0.001019254318904507,-0.027641255703429533,-0.02554887870292879,-0.10345648653375362,0.04102284944465156,-0.012163335914702533,-0.08592807008228417,0.026543056758063833,2.724508548787808,2.53631717373452,2.85938493335973,0.32306775962520984
2023-07-01,0.023671529662636626,-0.010951006141937983,-0.01510003834780257,-0.04808930960976626,0.059239570824274564,0.08096901303707336,0.00874462383845713,0.09654201890373904,2.724508548787808,2.919534950954482,2.85938493335973,-0.060150017594752025
2023-10-01,0.024189605980315516,0.0041387415712095975,0.010986540447615744,-0.034965056559449245,0.056581896770644444,0.09899942583214097,-0.021247679062804448,0.07675458481230236,2.724508548787808,2.939946608579783,2.8661563447276315,-0.07379026385215148
2024-01-01,0.02008539588567597,-0.009216478390777846,-0.03463204392870903,-0.016093746511026085,0.07537296822758549,0.13860578709223312,-0.057676917822789345,0.02324065468526763,2.724508548787808,2.864194168025268,2.8864705788313363,0.02227641080606846
2024-04-01,0.013798543165638288,0.019209782940595686,0.008219207896413281,0.011504888604370782,0.07216340063738881,0.13402025769852866,0.06087064683315033,-0.0132159496078397,2.724508548787808,3.031079326956054,2.90001340156714,-0.13106592538891393
2024-07-01,0.015066573995606106,0.01971624926301462,-0.00443155751144957,-0.039584388638480704,0.032383284245850234,0.09681268296842802,0.028400460207718577,0.034620861590849004,2.724508548787808,2.907492714909344,2.90001340156714,-0.007479313342204197
2024-10-01,0.03326714502494034,0.005053294757010686,0.005990474846573646,-0.04560985421774116,0.0307469737425452,0.062131852822243566,0.03605519638309644,0.011948115033584235,2.724508548787808,2.8640917471800607,2.903556698871205,0.03946495169114428
2025-01-01,0.03818683304557182,0.05257681664123526,0.02526140245741993,-0.03970544557595074,0.015523722763383487,-0.09189066141009314,0.059365193790607396,-0.020039457906725983,2.724508548787808,2.763786952593256,2.9141865907834,0.150399638190144
2025-04-01,0.029967548870601216,-0.01782860123953579,0.01842344949255175,-0.07867866836122622,-0.04632974875251739,-0.12518378379583975,-0.011800761355878967,0.10447890474080834,2.724508548787808,2.597556888386771,2.921273185391529,0.32371629700475824
2025-07-01,0.03405512348715038,0.029157059426194305,0.017161899091014288,-0.05317411165396495,0.04762757383482231,-0.039383131188587175,0.03826468345231818,0.09403232803059644,2.724508548787808,2.8922499732673517,2.921273185391529,0.029023212124177356
2025-10-01,0.04861625930972322,0.003673047304001175,0.014053940640142462,-0.058564515357985375,0.024186458824347744,0.10381729272358456,0.07785865567579371,0.1178402661006333,2.724508548787808,3.055989954008049,2.921273185391529,-0.13471676861651982
