,pmi,trade,ip,oil,fin,ai,copper,usd,factor_static,factor_smoothed
2011-03-01,52.93949999999999,6.761389855394095,2.148433943313366,43.43509867505127,-2.599469300698268,0.0141696493822411,27.217026649683284,5.43159484477539,0.7147886352903544,0.776305569774419
2011-04-01,52.6905,-1.2491360867409873,-2.511636088616853,43.49278058227375,-2.03758167557194,0.0213227198652338,22.311509058762404,8.0119766631917,0.6034822796152134,0.7095013686873529
2011-05-01,52.29949999999999,3.839692204134093,-0.0277100360335569,49.3702204635291,-2.12130121805345,0.147250170765025,30.581624005243118,12.206992696574916,0.8883484420525738,0.8001775464668142
2011-06-01,51.79600000000001,-0.9935533158238918,0.8811492913114449,50.766214407521424,-2.4024977049318177,0.1437447589460996,39.90605882510365,13.723781975270398,0.8731007358995915,0.8005836035039416
2011-07-01,51.22975,5.943634061839798,4.690047292797028,55.105002036564834,-2.411819839840673,-0.2450854927297787,43.6316524371783,10.007738577741476,0.8830644463398101,0.7122228681483409
2011-08-01,50.66524999999999,4.536631200307384,4.241474580844096,42.533568795886346,-4.393912466004442,-0.0977708563606271,22.85507606737971,9.631962130675989,0.3694102261695036,0.3830738687065347
2011-09-01,50.1925,4.756348780387443,2.3161108685814336,40.39134039025753,-4.582175457452805,-0.6539509690323454,6.247504596312603,5.047716323826624,-0.06871609876621135,0.022980210186641314
2011-10-01,49.8657,-0.0644850630633686,-1.5536788086426667,30.58950874703088,-4.117942994443942,-0.462098239743112,-11.383787069792584,0.3946736389113026,-0.3844529360846308,-0.25729192715635174
2011-11-01,49.689799999999984,-2.4974646424364644,-2.859549154757401,28.620670086129564,-4.006663363971492,-0.6904224622418822,-10.407952660469244,0.617902662120462,-0.4857509193696948,-0.3824192177928864
2011-12-01,49.63265,-0.5999536959384932,0.1022343053820096,16.853929736204055,-3.141872049381761,-0.8794384752388751,-17.690746367665554,0.5467436270067738,-0.43014461946645954,-0.39849555348552257
2012-01-01,49.63450000000002,-0.5342803082860281,2.191123985029786,15.166073544518754,-2.537318509617232,-0.7675065862951829,-15.552077411148456,-1.4176333838227473,-0.31360152976276606,-0.34318569055775144
2012-02-01,49.616425,0.1726823997131088,5.951032795237499,14.496912279833673,-2.310593032880208,-0.7766318169953993,-14.37849694808071,-1.477023510570774,-0.19975524194847075,-0.2862797370148304
2012-03-01,49.53477500000002,4.943854900232503,2.6109175576378485,8.63064985706028,-2.027957334074474,-0.5615365002837613,-11.113819309282691,-4.256482503913905,-0.17482258588863855,-0.2895913121898608
2012-04-01,49.38300000000002,-0.2398622916336745,1.7851543774477063,-2.0837177900410286,-2.2356450381983297,-0.7906821615636557,-13.595469302789596,-6.258991942309966,-0.4580121943163476,-0.41749537302611833
2012-05-01,49.193,10.286476230835229,-0.3554785520329395,-3.563838103737693,-2.6343831429470823,-0.9933866838409696,-11.964542032811554,-7.984937884490129,-0.4979218960387574,-0.48855835906328765
2012-06-01,49.00759999999998,2.0235517590499352,-0.1273877766682196,-15.780849726523993,-2.650581208974356,-0.7381282962487955,-18.53287520619551,-10.076950898695824,-0.7060177068956835,-0.5865490878843159
2012-07-01,48.87337500000001,3.634855960317096,0.8053312330540852,-12.1705635492524,-2.203312449597979,-0.5935854991899082,-21.86256637244536,-11.116844467024167,-0.6087782989238247,-0.5651295924448534
2012-08-01,48.816500000000005,-6.191616000783784,-0.8319943374845873,2.514220655547139,-1.968035605392643,-0.2321932054492881,-16.195486187059526,-10.673288972531148,-0.5527928902540059,-0.48644423592684577
2012-09-01,48.8532,1.322255490947466,-1.8242205205165285,2.196303159629287,-1.917255582250596,-0.1869486238473307,-0.5111089309501438,-3.6676414937304,-0.18787039928870403,-0.3015477734866828
2012-10-01,48.97635000000001,-1.3153623171964224,-2.0969247303630034,2.320619633454113,-2.041619530552464,-0.7102960829934281,10.563194118372522,-3.310003777591919,-0.2724071410121136,-0.2631310419281038
